CO_MUNICIPIO;NO_MUNICIPIO;SG_UF;REDE;ANO_ESCOLAR;QT_MATRICULAS;TAXA_EVASAO;TAXA_APROVACAO;TAXA_REPROVACAO;EVASAO_ABSOLUTA;APROVADOS_ABSOLUTOS;REPROVADOS_ABSOLUTOS
3200102;Afonso Cláudio;ES;Estadual;6;191;0.0;0.9840000000000001;0.016;0.0;187.94400000000002;3.056
3200102;Afonso Cláudio;ES;Estadual;7;243;0.0;0.978;0.022000000000000002;0.0;237.654;5.346000000000001
3200102;Afonso Cláudio;ES;Estadual;8;253;0.0;0.98;0.02;0.0;247.94;5.0600000000000005
3200102;Afonso Cláudio;ES;Estadual;9;229;0.0;1.0;0.0;0.0;229.0;0.0
3200102;Afonso Cláudio;ES;Municipal;6;195;0.0;0.965;0.035;0.0;188.17499999999998;6.825000000000001
3200102;Afonso Cláudio;ES;Municipal;7;191;0.005;0.963;0.032;0.9550000000000001;183.933;6.112
3200102;Afonso Cláudio;ES;Municipal;8;151;0.0;0.9590000000000001;0.040999999999999995;0.0;144.809;6.190999999999999
3200102;Afonso Cláudio;ES;Municipal;9;158;0.0;1.0;0.0;0.0;158.0;0.0
3200201;Alegre;ES;Estadual;6;332;0.0;1.0;0.0;0.0;332.0;0.0
3200201;Alegre;ES;Estadual;7;310;0.0;1.0;0.0;0.0;310.0;0.0
3200201;Alegre;ES;Estadual;8;290;0.0;0.996;0.004;0.0;288.84;1.16
3200201;Alegre;ES;Estadual;9;313;0.0;0.993;0.006999999999999999;0.0;310.809;2.191
3200201;Alegre;ES;Municipal;6;0;;;;0.0;0.0;0.0
3200201;Alegre;ES;Municipal;7;0;;;;0.0;0.0;0.0
3200201;Alegre;ES;Municipal;8;0;;;;0.0;0.0;0.0
3200201;Alegre;ES;Municipal;9;0;;;;0.0;0.0;0.0
3200300;Alfredo Chaves;ES;Estadual;6;18;0.0;1.0;0.0;0.0;18.0;0.0
3200300;Alfredo Chaves;ES;Estadual;7;28;0.0;1.0;0.0;0.0;28.0;0.0
3200300;Alfredo Chaves;ES;Estadual;8;25;0.0;0.96;0.04;0.0;24.0;1.0
3200300;Alfredo Chaves;ES;Estadual;9;32;0.0;1.0;0.0;0.0;32.0;0.0
3200300;Alfredo Chaves;ES;Municipal;6;135;0.0;0.9229999999999999;0.077;0.0;124.60499999999999;10.395
3200300;Alfredo Chaves;ES;Municipal;7;121;0.0;0.9229999999999999;0.077;0.0;111.68299999999999;9.317
3200300;Alfredo Chaves;ES;Municipal;8;126;0.0;0.937;0.063;0.0;118.06200000000001;7.938
3200300;Alfredo Chaves;ES;Municipal;9;121;0.008;0.983;0.009000000000000001;0.968;118.943;1.0890000000000002
3200359;Alto Rio Novo;ES;Estadual;6;78;0.0;1.0;0.0;0.0;78.0;0.0
3200359;Alto Rio Novo;ES;Estadual;7;105;0.0;1.0;0.0;0.0;105.0;0.0
3200359;Alto Rio Novo;ES;Estadual;8;94;0.0;1.0;0.0;0.0;94.0;0.0
3200359;Alto Rio Novo;ES;Estadual;9;97;0.021;0.9790000000000001;0.0;2.037;94.96300000000001;0.0
3200359;Alto Rio Novo;ES;Municipal;6;19;0.0;0.789;0.21100000000000002;0.0;14.991000000000001;4.009
3200359;Alto Rio Novo;ES;Municipal;7;17;0.0;0.8240000000000001;0.17600000000000002;0.0;14.008000000000001;2.9920000000000004
3200359;Alto Rio Novo;ES;Municipal;8;10;0.0;1.0;0.0;0.0;10.0;0.0
3200359;Alto Rio Novo;ES;Municipal;9;15;0.0;1.0;0.0;0.0;15.0;0.0
