SG_UF;CO_MUNICIPIO;NO_MUNICIPIO;REDE;VL_OBSERVADO_2023;VL_PROJECAO_2021;acima_meta
ES;3200102;Afonso Cláudio;Estadual;5.8;5.5;True
ES;3200102;Afonso Cláudio;Municipal;5.4;6.3;False
ES;3200136;Águia Branca;Estadual;5.8;6.0;False
ES;3200136;Águia Branca;Municipal;;5.5;False
ES;3200169;Água Doce do Norte;Estadual;5.3;5.2;True
ES;3200169;Água Doce do Norte;Municipal;4.9;4.8;True
ES;3200201;Alegre;Estadual;5.7;5.8;False
ES;3200300;Alfredo Chaves;Estadual;6.4;6.8;False
ES;3200300;Alfredo Chaves;Municipal;6.0;6.2;False
ES;3200359;Alto Rio Novo;Estadual;5.4;5.7;False
ES;3200359;Alto Rio Novo;Municipal;4.9;5.6;False
ES;3200409;Anchieta;Estadual;5.8;4.6;True
ES;3200409;Anchieta;Municipal;5.3;5.1;True
ES;3200508;Apiacá;Estadual;5.7;5.5;True
ES;3200508;Apiacá;Municipal;3.7;5.3;False
ES;3200607;Aracruz;Estadual;4.8;5.7;False
ES;3200607;Aracruz;Municipal;5.2;5.8;False
ES;3200706;Atílio Vivácqua;Estadual;;5.8;False
ES;3200706;Atílio Vivácqua;Municipal;4.2;5.5;False
ES;3200805;Baixo Guandu;Estadual;5.7;5.8;False
ES;3200805;Baixo Guandu;Municipal;4.5;5.6;False
ES;3200904;Barra de São Francisco;Estadual;5.2;5.6;False
ES;3200904;Barra de São Francisco;Municipal;5.3;5.3;True
ES;3201001;Boa Esperança;Estadual;5.5;4.8;True
ES;3201001;Boa Esperança;Municipal;4.9;5.7;False
ES;3201100;Bom Jesus do Norte;Estadual;5.3;5.1;True
ES;3201100;Bom Jesus do Norte;Municipal;4.3;5.1;False
ES;3201159;Brejetuba;Estadual;5.7;6.1;False
ES;3201159;Brejetuba;Municipal;;;False
ES;3201209;Cachoeiro de Itapemirim;Estadual;5.3;5.4;False
ES;3201209;Cachoeiro de Itapemirim;Municipal;4.6;6.0;False
ES;3201308;Cariacica;Estadual;4.9;5.2;False
ES;3201308;Cariacica;Municipal;4.4;5.4;False
ES;3201407;Castelo;Estadual;5.7;6.6;False
ES;3201407;Castelo;Municipal;5.1;6.2;False
ES;3201506;Colatina;Estadual;5.5;6.0;False
ES;3201506;Colatina;Municipal;5.0;6.3;False
ES;3201605;Conceição da Barra;Estadual;5.2;5.6;False
ES;3201605;Conceição da Barra;Municipal;4.8;5.9;False
ES;3201704;Conceição do Castelo;Estadual;5.4;6.0;False
ES;3201704;Conceição do Castelo;Municipal;;6.1;False
ES;3201803;Divino de São Lourenço;Estadual;6.0;5.5;True
ES;3201803;Divino de São Lourenço;Municipal;;5.0;False
ES;3201902;Domingos Martins;Estadual;6.1;5.9;True
ES;3201902;Domingos Martins;Municipal;5.6;6.5;False
ES;3202009;Dores do Rio Preto;Estadual;5.7;5.1;True
ES;3202009;Dores do Rio Preto;Municipal;;5.4;False
ES;3202108;Ecoporanga;Estadual;5.2;5.3;False
ES;3202108;Ecoporanga;Municipal;;5.6;False
ES;3202207;Fundão;Estadual;5.2;4.7;True
ES;3202207;Fundão;Municipal;4.2;5.7;False
ES;3202256;Governador Lindenberg;Estadual;5.5;6.3;False
ES;3202306;Guaçuí;Estadual;5.6;5.1;True
ES;3202306;Guaçuí;Municipal;5.1;5.4;False
