CO_MUNICIPIO;NO_MUNICIPIO;SG_UF;REDE;ANO_ESCOLAR;QT_MATRICULAS
3200102;Afonso Cláudio;ES;Estadual;6;191
3200102;Afonso Cláudio;ES;Municipal;6;195
3200136;Águia Branca;ES;Estadual;6;59
3200136;Águia Branca;ES;Municipal;6;85
3200169;Água Doce do Norte;ES;Estadual;6;112
3200169;Água Doce do Norte;ES;Municipal;6;78
3200201;Alegre;ES;Estadual;6;332
3200201;Alegre;ES;Municipal;6;0
3200300;Alfredo Chaves;ES;Estadual;6;18
3200300;Alfredo Chaves;ES;Municipal;6;135
3200359;Alto Rio Novo;ES;Estadual;6;78
3200359;Alto Rio Novo;ES;Municipal;6;19
3200409;Anchieta;ES;Estadual;6;0
3200409;Anchieta;ES;Municipal;6;461
3200508;Apiacá;ES;Estadual;6;0
3200508;Apiacá;ES;Municipal;6;90
3200607;Aracruz;ES;Estadual;6;361
3200607;Aracruz;ES;Municipal;6;1028
3200706;Atílio Vivácqua;ES;Estadual;6;0
3200706;Atílio Vivácqua;ES;Municipal;6;156
3200805;Baixo Guandu;ES;Estadual;6;111
3200805;Baixo Guandu;ES;Municipal;6;254
3200904;Barra de São Francisco;ES;Estadual;6;219
3200904;Barra de São Francisco;ES;Municipal;6;296
3201001;Boa Esperança;ES;Estadual;6;122
3201001;Boa Esperança;ES;Municipal;6;102
3201100;Bom Jesus do Norte;ES;Estadual;6;24
3201100;Bom Jesus do Norte;ES;Municipal;6;93
3201159;Brejetuba;ES;Estadual;6;188
3201159;Brejetuba;ES;Municipal;6;28
3201209;Cachoeiro de Itapemirim;ES;Estadual;6;1333
3201209;Cachoeiro de Itapemirim;ES;Municipal;6;955
3201308;Cariacica;ES;Estadual;6;1915
3201308;Cariacica;ES;Municipal;6;3428
3201407;Castelo;ES;Estadual;6;24
3201407;Castelo;ES;Municipal;6;437
3201506;Colatina;ES;Estadual;6;109
3201506;Colatina;ES;Municipal;6;1234
3201605;Conceição da Barra;ES;Estadual;6;118
3201605;Conceição da Barra;ES;Municipal;6;423
3201704;Conceição do Castelo;ES;Estadual;6;172
3201704;Conceição do Castelo;ES;Municipal;6;0
3201803;Divino de São Lourenço;ES;Estadual;6;43
3201803;Divino de São Lourenço;ES;Municipal;6;17
3201902;Domingos Martins;ES;Estadual;6;103
3201902;Domingos Martins;ES;Municipal;6;381
3202009;Dores do Rio Preto;ES;Estadual;6;110
3202009;Dores do Rio Preto;ES;Municipal;6;0
3202108;Ecoporanga;ES;Estadual;6;225
3202108;Ecoporanga;ES;Municipal;6;7
3202207;Fundão;ES;Estadual;6;69
3202207;Fundão;ES;Municipal;6;228
3202256;Governador Lindenberg;ES;Estadual;6;150
3202256;Governador Lindenberg;ES;Municipal;6;0
3202306;Guaçuí;ES;Estadual;6;64
3202306;Guaçuí;ES;Municipal;6;342
3202405;Guarapari;ES;Estadual;6;97
3202405;Guarapari;ES;Municipal;6;1799
3202454;Ibatiba;ES;Estadual;6;0
3202454;Ibatiba;ES;Municipal;6;433
3202504;Ibiraçu;ES;Estadual;6;160
3202504;Ibiraçu;ES;Municipal;6;10
3202553;Ibitirama;ES;Estadual;6;128
3202553;Ibitirama;ES;Municipal;6;50
3202603;Iconha;ES;Estadual;6;113
3202603;Iconha;ES;Municipal;6;46
3202652;Irupi;ES;Estadual;6;116
3202652;Irupi;ES;Municipal;6;58
3202702;Itaguaçu;ES;Estadual;6;134
3202702;Itaguaçu;ES;Municipal;6;31
3202801;Itapemirim;ES;Estadual;6;131
3202801;Itapemirim;ES;Municipal;6;590
3202900;Itarana;ES;Estadual;6;114
3202900;Itarana;ES;Municipal;6;0
3203007;Iúna;ES;Estadual;6;286
3203007;Iúna;ES;Municipal;6;128
3203056;Jaguaré;ES;Estadual;6;178
3203056;Jaguaré;ES;Municipal;6;343
3203106;Jerônimo Monteiro;ES;Estadual;6;92
3203106;Jerônimo Monteiro;ES;Municipal;6;64
3203130;João Neiva;ES;Estadual;6;0
3203130;João Neiva;ES;Municipal;6;172
3203163;Laranja da Terra;ES;Estadual;6;98
3203163;Laranja da Terra;ES;Municipal;6;69
3203205;Linhares;ES;Estadual;6;428
3203205;Linhares;ES;Municipal;6;2075
3203304;Mantenópolis;ES;Estadual;6;134
3203304;Mantenópolis;ES;Municipal;6;53
3203320;Marataízes;ES;Estadual;6;33
3203320;Marataízes;ES;Municipal;6;641
3203346;Marechal Floriano;ES;Estadual;6;157
3203346;Marechal Floriano;ES;Municipal;6;78
3203353;Marilândia;ES;Estadual;6;84
3203353;Marilândia;ES;Municipal;6;39
3203403;Mimoso do Sul;ES;Estadual;6;220
3203403;Mimoso do Sul;ES;Municipal;6;89
3203502;Montanha;ES;Estadual;6;178
3203502;Montanha;ES;Municipal;6;134
3203601;Mucurici;ES;Estadual;6;40
3203601;Mucurici;ES;Municipal;6;13
3203700;Muniz Freire;ES;Estadual;6;32
3203700;Muniz Freire;ES;Municipal;6;191
3203809;Muqui;ES;Estadual;6;147
3203809;Muqui;ES;Municipal;6;64
3203908;Nova Venécia;ES;Estadual;6;49
3203908;Nova Venécia;ES;Municipal;6;596
3204005;Pancas;ES;Estadual;6;93
3204005;Pancas;ES;Municipal;6;110
3204054;Pedro Canário;ES;Estadual;6;260
3204054;Pedro Canário;ES;Municipal;6;66
3204104;Pinheiros;ES;Estadual;6;48
3204104;Pinheiros;ES;Municipal;6;319
3204203;Piúma;ES;Estadual;6;0
3204203;Piúma;ES;Municipal;6;356
3204252;Ponto Belo;ES;Estadual;6;90
3204252;Ponto Belo;ES;Municipal;6;19
3204302;Presidente Kennedy;ES;Estadual;6;0
3204302;Presidente Kennedy;ES;Municipal;6;199
3204351;Rio Bananal;ES;Estadual;6;0
3204351;Rio Bananal;ES;Municipal;6;319
3204401;Rio Novo do Sul;ES;Estadual;6;162
3204401;Rio Novo do Sul;ES;Municipal;6;0
3204500;Santa Leopoldina;ES;Estadual;6;88
3204500;Santa Leopoldina;ES;Municipal;6;55
3204559;Santa Maria de Jetibá;ES;Estadual;6;395
3204559;Santa Maria de Jetibá;ES;Municipal;6;180
3204609;Santa Teresa;ES;Estadual;6;82
3204609;Santa Teresa;ES;Municipal;6;230
3204658;São Domingos do Norte;ES;Estadual;6;21
3204658;São Domingos do Norte;ES;Municipal;6;112
3204708;São Gabriel da Palha;ES;Estadual;6;148
3204708;São Gabriel da Palha;ES;Municipal;6;219
3204807;São José do Calçado;ES;Estadual;6;0
3204807;São José do Calçado;ES;Municipal;6;136
3204906;São Mateus;ES;Estadual;6;556
3204906;São Mateus;ES;Municipal;6;1279
3204955;São Roque do Canaã;ES;Estadual;6;60
3204955;São Roque do Canaã;ES;Municipal;6;69
3205002;Serra;ES;Estadual;6;3295
3205002;Serra;ES;Municipal;6;4243
3205010;Sooretama;ES;Estadual;6;0
3205010;Sooretama;ES;Municipal;6;473
3205036;Vargem Alta;ES;Estadual;6;97
3205036;Vargem Alta;ES;Municipal;6;140
3205069;Venda Nova do Imigrante;ES;Estadual;6;165
3205069;Venda Nova do Imigrante;ES;Municipal;6;104
3205101;Viana;ES;Estadual;6;68
3205101;Viana;ES;Municipal;6;1103
3205150;Vila Pavão;ES;Estadual;6;30
3205150;Vila Pavão;ES;Municipal;6;100
3205176;Vila Valério;ES;Estadual;6;34
3205176;Vila Valério;ES;Municipal;6;208
3205200;Vila Velha;ES;Estadual;6;189
3205200;Vila Velha;ES;Municipal;6;4775
3205309;Vitória;ES;Estadual;6;44
3205309;Vitória;ES;Municipal;6;2985
3200102;Afonso Cláudio;ES;Estadual;7;243
3200102;Afonso Cláudio;ES;Municipal;7;191
3200136;Águia Branca;ES;Estadual;7;61
3200136;Águia Branca;ES;Municipal;7;83
3200169;Água Doce do Norte;ES;Estadual;7;122
3200169;Água Doce do Norte;ES;Municipal;7;58
3200201;Alegre;ES;Estadual;7;310
3200201;Alegre;ES;Municipal;7;0
3200300;Alfredo Chaves;ES;Estadual;7;28
3200300;Alfredo Chaves;ES;Municipal;7;121
3200359;Alto Rio Novo;ES;Estadual;7;105
3200359;Alto Rio Novo;ES;Municipal;7;17
3200409;Anchieta;ES;Estadual;7;63
3200409;Anchieta;ES;Municipal;7;370
3200508;Apiacá;ES;Estadual;7;27
3200508;Apiacá;ES;Municipal;7;53
3200607;Aracruz;ES;Estadual;7;357
3200607;Aracruz;ES;Municipal;7;1005
3200706;Atílio Vivácqua;ES;Estadual;7;0
3200706;Atílio Vivácqua;ES;Municipal;7;147
